RMS ID,MSX Name,Source Type,Flux 8 (Jy),Flux 12 (Jy),Flux 14 (Jy),Flux 21 (Jy),J Mag.,H Mag.,K Mag.,VLSR (km/s),Distance (kpc),D type,FIR Lum.,Lum. Source,Freq. (GHz),Int. Flux,Random?
2451,G012.0653-00.2853,Diffuse HII region ,0.338,-0.658,0.81,2.79,,,,,NA,,NULL,MSX,,,
2374,G012.1177+01.1966,PN ,0.172,0.832,1.61,7.3,13.2,12.1,11.3,,NA,,NULL,MSX,5,63.6,
2531,G012.1739-01.3252,Evolved star?,2.775,4.024,4.66,5.47,16.3,12.5,9.2,,NA,,NULL,MSX,5,<0.5,
2446,G012.1917-00.1029,Diffuse HII region ,2.063,6.683,8.66,18.27,,,,27,3.09/13.33,,4067.5/75695.5,MIPS/IGA,5,<1.7,
2449,G012.1953-00.1346,Rejected ,0.413,1.382,1.32,4.75,,,,,NA,,NULL,MSX,,,
2447,G012.1956-00.1266,Diffuse HII region ,0.351,2.791,5.49,11.47,,,,,NA,,NULL,MSX,,,
2445,G012.1993-00.0342A,HII region ,0.655,0.935,1.42,8.87,,,,50.9,12,Kin,83957,MIPS/IGA,5,60.1,
2445,G012.1993-00.0342B,YSO ,0.655,0.935,1.42,8.87,,,,50.9,12,Kin,58758,MIPS/IGA,5,<1.0,
2359,G012.2079+03.2142,Evolved star ,1.769,2.083,2.56,3.78,10.6,9.2,8,,NA,,NULL,MSX,,,
4286,G012.2242-00.1116,Rejected ,-0.032,0.688,1.34,4.47,,,,,NA,,NULL,MSX,,,
2438,G012.2850+00.1031,OH/IR star ,12.517,18.474,23.46,23.98,15.2,13.7,12.3,,NA,,NULL,MSX,5,<1.3,
2448,G012.3739-00.0351,Evolved star ,2.863,3.949,8.04,8.62,,,,20.2,2.52/13.89,,1890.7/57441.7,MSX,5,<1.0,
2459,G012.3821-00.3028,Evolved star ,0.68,1.241,1.36,3.12,,,,,NA,,NULL,MSX,5,<1.3,
2521,G012.4314-01.1117,HII region ,2.371,1.988,4.44,53.45,,,,39.7,3.9,Kin,146106,MIPS/IGA,5,105.2,
2524,G012.4909-01.0962,Other ,0.421,0.849,1.88,8.22,11.7,9.3,8.1,,NA,,NULL,MSX,,,
2494,G012.5932-00.5708,Young/old star?,2.384,4.54,5.84,7.73,15.1,13.2,10.1,15.9,2.1,Kin,668,MIPS/IGA,5,<0.5,
4884,G012.6074-02.7004,PN ,0.157,0.646,0.71,4.65,13.3,12.9,12.2,,NA,,NULL,MSX,,,
2453,G012.6814+00.0072A,YSO ,1.335,2.24,2.25,4.66,16.9,15.6,13,111.7,11.1,Kin,7347,MSX,,,
2453,G012.6814+00.0072B,HII region ,1.335,2.24,2.25,4.66,,,,111.7,11.1,Kin,5991,MSX,5,4.4,
2463,G012.6833-00.1834,Diffuse HII region ,0.572,2.482,4.24,17.68,,,,,NA,,NULL,MSX,,,
2439,G012.6900+00.2879,Evolved star ,1.248,2.186,2.74,3.7,17.1,15.5,12.4,31.3,3.32/13.07,,1408.7/21831.4,MSX,5,<0.9,
2474,G012.6922-00.2498,Evolved star ,0.172,1.163,1.68,5.19,11.6,9.5,8.4,,NA,,NULL,MSX,,,
2460,G012.7232-00.1209,Rejected ,0.452,0.904,0.91,2.94,,,,,NA,,NULL,MSX,,,
2462,G012.7248-00.1581,Rejected?,0.542,1.458,1.02,5.1,,,,,NA,,NULL,MSX,,,
2464,G012.7297-00.1633,Rejected ,0.686,0.88,1.46,4.81,,,,,NA,,NULL,MSX,,,
4285,G012.7408+00.3305,Diffuse HII region ,-0.039,-0.658,0.89,3.4,,,,18.3,2.31/14.07,,626.6/23247.0,MSX,5,<1.0,
4287,G012.7465-00.1590,Diffuse HII region ,-0.05,1.122,0.75,4.44,,,,,NA,,NULL,MSX,5,<4.0,
4870,G012.7499+00.3827,Evolved star ,0.256,2.013,0.74,2.89,,,,18.1,2.3/14.09,,528.0/19817.1,MSX,5,<1.4,
2467,G012.7529-00.1668,Rejected ,0.206,-0.601,1.14,3.86,,,,,NA,,NULL,MSX,,,
2414,G012.7589+00.8954,OH/IR star ,8.222,28.73,51.52,57.46,15.9,14.1,12.7,15.6,2.1,Kin,8422,MSX,5,<0.5,
2469,G012.7663-00.1726,Rejected ,0.213,-0.931,0.79,4.79,,,,,NA,,NULL,MSX,,,
2441,G012.7720+00.3038,OH/IR star ,3.119,4.341,6.05,6.76,16.6,13.8,10,18.7,2.35/14.04,,1289.4/46025.9,MSX,5,<1.2,
2466,G012.7737-00.1527,Diffuse HII region ,1.315,8.025,17.6,49.59,,,,45.1,4.1/12.28,,28792.5/258290.5,MSX,5,<4.3,
2472,G012.7879-00.1786,YSO??,3.967,6.241,7.56,28.27,12.7,11.5,10.8,35.4,2.4,Par,5624,MSX,,,
2476,G012.7890-00.2185,Diffuse HII region?,4.037,5.858,6.22,20.27,,,,35.5,2.4,Par,4033,MSX,5,<6.2,
2475,G012.8062-00.1987,HII region ,21.225,69.329,124.97,679.38,,,,36.5,2.4,Par,129760,MSX,5,6,290.8
2477,G012.8072-00.2231,Rejected ,9.603,30.955,41.69,187.16,,,,,NA,,NULL,MSX,,,
2482,G012.8170-00.2479,Rejected ,0.231,1.547,1.03,8.35,,,,,NA,,NULL,MSX,,,
2461,G012.8172-00.0934,Other ,0.757,1.798,2.48,2.7,15,10.9,9,27.9,2.4,Par,537,MSX,,,
2429,G012.8269+00.5428,Rejected ,0.122,1.035,2.05,7.08,,,,,NA,,NULL,MSX,,,
2473,G012.8296-00.1719,Diffuse HII region ,1.685,1.67,2.18,6.24,,,,35.4,2.4,Par,1241,MSX,5,<5.3,
2487,G012.8600-00.2737,HII region ,1.663,2.125,4.65,28.72,17.9,15.8,13.6,36.8,2.4,Par,4161,MIPS/IGA,5,<4.1,
2485,G012.8678-00.2339,Rejected ,0.377,2.735,5.35,13.78,,,,,NA,,NULL,MSX,,,
2480,G012.8903-00.1954,Rejected ,0.311,0.584,1.02,3.56,,,,,NA,,NULL,MSX,,,
2434,G012.8909+00.4938A,YSO ,2.208,2.629,3.36,12.93,17.5,15.1,12.2,33.8,2.4,Par,6505,MSX,8.6,<0.4,
2434,G012.8909+00.4938B,HII region ,2.208,2.629,3.36,12.93,,,,33.8,2.4,Par,7085,MSX,8.6,<0.4,
2434,G012.8909+00.4938C,YSO ,2.208,2.629,3.36,12.93,,,,33.8,2.4,Par,6993,MSX,8.6,<0.4,
2490,G012.9090-00.2607,YSO ,15.651,23.209,49.59,143.99,15.3,13.2,9.2,36.7,2.4,Par,32072,MIPS/IGA,5,<2.4,
2492,G012.9134-00.2835,Rejected ,0.88,1.499,1.43,5.39,,,,,NA,,NULL,MSX,,,
2479,G013.0105-00.1267,Evolved star?,2.399,3.175,5.81,7.13,18,17.3,12.1,10.9,1.55/14.82,,290.4/26545.0,MIPS/IGA,5,<1.9,
2357,G013.1172+04.1507,PN ,0.378,-0.911,2.97,5.06,12.7,12.6,11.6,,NA,,NULL,MSX,5,70.2,
2353,G013.1443+05.0644,OH/IR star ,4.741,7.312,10.03,12.28,16.6,15.6,14.9,,NA,,NULL,MSX,5,<0.6,
2489,G013.1840-00.1069A,YSO ,1.435,1.421,1.44,7.23,18.2,17.2,12.3,54.4,11.9,Kin,15887,MIPS/IGA,5,<1.5,
2489,G013.1840-00.1069B,HII region ,1.435,1.421,1.44,7.23,15.9,15.3,14.2,54.4,11.9,Kin,25542,MIPS/IGA,5,<1.5,
2470,G013.1842+00.0450,Diffuse HII region ,2.837,18.9,31.14,48.59,,,,,NA,,NULL,MSX,,,
2471,G013.1885+00.0395,Rejected ,3.879,16.647,24.88,43.42,,,,,NA,,NULL,MSX,,,
2493,G013.2097-00.1436,Diffuse HII region ,2.593,1.869,2.44,18.21,,,,53.1,4.41/11.94,,30825.2/225963.3,MIPS/IGA,5,<1.2,
4288,G013.2313+00.0809,Rejected ,0.087,1.126,1.92,5.87,,,,,NA,,NULL,MSX,,,
2442,G013.2857+00.5723,Evolved star ,1.411,2.367,2.82,2.97,17.3,15.2,13.3,,NA,,NULL,MSX,5,<0.5,
2369,G013.2978+02.4742,OH/IR star ,3.228,4.614,5.88,7.34,17.1,15.1,11.3,,NA,,NULL,MSX,5,<0.5,
2491,G013.3310-00.0407,YSO ,0.817,1.474,2.08,4.4,15.7,12.2,9.8,54.7,4.5,Kin,3696,MIPS/IGA,5,<1.0,
2684,G013.3794-02.0278,Evolved star?,2.814,4.04,4.68,5.58,,,,,NA,,NULL,MSX,,,
2481,G013.3852+00.0663,Diffuse HII region ,4.52,13.984,17.38,29.84,,,,,NA,,NULL,MSX,,,
2361,G013.4930+03.9153,OH/IR star ,3.24,5.216,5.78,6.79,14.4,12.4,10.4,,NA,,NULL,MSX,5,<0.7,
2499,G013.5428-00.1815,Diffuse HII region ,0.671,1.239,1.94,3.57,,,,,NA,,NULL,MSX,,,
2483,G013.6313+00.1937,HII region ,1.575,2.307,2.03,4.93,,,,28.2,13.3,Kin,24439,MSX,5,16.6,
2536,G013.6562-00.5997,YSO ,1.87,4.137,6.27,17.95,16.2,14.2,11.5,47.4,4.1,Kin,13837,MIPS/IGA,5,<0.5,
2498,G013.7119-00.0828,Diffuse HII region ,0.823,0.984,0.93,4.02,,,,,NA,,NULL,MSX,,,
2515,G013.8315-00.3047,Evolved star ,1.35,1.641,1.93,3.21,13.4,12.1,10.9,39.3,3.66/12.66,,1485.2/17769.8,MSX,5,<0.7,
2486,G013.8770+00.2811,Diffuse HII region ,15.452,45.366,53.2,183.59,,,,,NA,,NULL,MSX,,,
2537,G013.8885-00.4760,Diffuse HII region ,0.612,2.143,3.99,25.17,,,,22.7,2.56/13.75,,4069.8/117407.8,MIPS/IGA,5,<0.5,
2501,G013.9090-00.0622,Evolved star ,5.065,14.064,15.38,16.74,12.8,8.5,6.1,,NA,,NULL,MSX,,,
2508,G013.9618-00.1476,Diffuse HII region?,0.663,1.345,2.48,8.14,,,,,NA,,NULL,MSX,,,
2504,G013.9817-00.1200,Rejected ,1.158,3.242,4.41,15.86,,,,,NA,,NULL,MSX,,,
2362,G013.9844+03.6844,Evolved star ,1.984,2.982,3.25,3.88,15.4,14.2,11.1,,NA,,NULL,MSX,5,<0.5,
2506,G013.9858-00.1243,Rejected ,1.509,6.165,8.88,25.99,,,,,NA,,NULL,MSX,,,
4290,G013.9881-00.1161,Rejected ,-0.055,-0.931,1.68,7.42,,,,,NA,,NULL,MSX,,,
2509,G013.9907-00.1343,Rejected ,3.01,8.284,10.71,25.49,,,,,NA,,NULL,MSX,,,
2505,G013.9925-00.1193,Rejected ,0.786,2.94,4.1,11.88,,,,,NA,,NULL,MSX,,,
4291,G014.0113-00.1340,Rejected ,-0.039,0.942,1.46,6.87,,,,,NA,,NULL,MSX,,,
2540,G014.0329-00.5155,YSO ,3.276,5.284,5.16,9.61,16.6,13.7,10.8,20.3,1.1,Par,1049,MIPS/IGA,5,<0.8,
2560,G014.0334-00.6594,Evolved star?,0.329,1.628,2.86,3.03,,,,21.1,2.4,Kin,608,MSX,5,<0.5,
4874,G014.0612-00.5190,Diffuse HII region ,0.401,-0.491,0.7,3.89,,,,21.4,1.1,Par,169,MSX,,,
2500,G014.1035+00.0907,HII region ,1.859,3.943,4.25,13.13,,,,9.5,1.32/14.97,,790.2/101629.8,MSX,5,24.6,
2502,G014.1742+00.0226,Diffuse HII region ,1.378,2.526,1.96,4.22,,,,12.6,1.64/14.65,,1022.0/81556.5,MIPS/IGA,5,<0.8,
2496,G014.1838+00.2208,Evolved star ,4.831,9.997,14.09,21.41,13.9,11.3,9.4,,NA,,NULL,MSX,5,<0.7,
2517,G014.2071-00.1105,Diffuse HII region ,0.866,1.599,1.23,2.88,,,,38.5,3.56/12.73,,3637.3/46509.2,MIPS/IGA,5,<0.8,
2571,G014.2166-00.6344,YSO ,1.378,2.296,1.79,3.08,14.7,11.7,9.5,19.8,1.1,Par,265,MIPS/IGA,5,<0.7,
2552,G014.2172-00.5336,Diffuse HII region ,0.767,1.251,1.49,4.7,,,,,NA,,NULL,MSX,,,
2497,G014.2361+00.2138A,Evolved star?,2.636,3.704,4.97,7.96,14.2,12.6,11.4,,NA,,NULL,MSX,5,<0.5,
2497,G014.2361+00.2138B,PN?,2.636,3.704,4.97,7.96,14.7,13.7,12.5,,NA,,NULL,MSX,5,24.3,
2562,G014.2428-00.5543,HII region??,0.54,0.659,1.17,5.16,17.4,15,12.9,20.3,1.1,Par,1298,MSX,,,
2363,G014.2830+03.7954,PN ,0.282,1.57,4.2,10.36,13.8,13,12.7,,NA,,NULL,MSX,,,
2605,G014.3029-01.0274,Evolved star ,0.319,-0.573,0.86,3.2,8.6,8.6,8.5,,NA,,NULL,MSX,,,
2578,G014.3313-00.6397,HII region ,2.901,3.658,4.15,31.39,18.2,15.2,12.8,22.5,1.1,Par,1916,MIPS/IGA,5,<0.5,
2518,G014.3909-00.0216,HII region ,0.907,1.486,1.41,3.04,,,,23.1,2.5,Kin,979,MSX,5,42.9,
2586,G014.4335-00.6969,YSO ,7.164,13.984,19.34,31.08,15.6,11.5,8.4,17.5,1.1,Par,1285,MIPS/IGA,5,<0.5,
2526,G014.4372-00.0565,Diffuse HII region?,1.477,2.976,3.76,9.7,,,,,NA,,NULL,MSX,,,
2533,G014.4797-00.1091,Diffuse HII region ,0.635,-0.658,1.79,5.23,,,,,NA,,NULL,MSX,,,
2519,G014.4886+00.0219A,HII region ,1.109,2.187,2.11,3.54,,,,22.9,2.5,Kin,1118,MIPS/IGA,5,122.1,
2519,G014.4886+00.0219B,Evolved star ,1.109,2.187,2.11,3.54,12.9,9.3,7.4,22.9,2.5,Kin,20,MIPS/IGA,5,122.1,
2507,G014.5304+00.1601,Evolved star?,2.461,4.291,5.44,6.67,10.1,8,7,,NA,,NULL,MSX,,,
2697,G014.5534-01.6946,Evolved star?,3.679,5.093,7.37,7.66,16.9,15.9,11.5,,NA,,NULL,MSX,5,<0.5,
2528,G014.5982+00.0202,HII region?,0.294,0.699,1.65,4.67,,,,26.6,2.8,Kin,1864,MIPS/IGA,8.6,2.1,
2522,G014.5983+00.0576,Young/old star?,0.893,1.365,1.49,2.97,12.6,9.9,8.2,,NA,,NULL,MSX,,,
2514,G014.6064+00.1150,Rejected ,0.28,1.351,2.85,8.38,,,,,NA,,NULL,MSX,,,
2513,G014.6065+00.1252,Rejected ,0.247,0.786,1.59,5.36,,,,,NA,,NULL,MSX,,,
2529,G014.6087+00.0127,YSO ,1.502,2.146,3.73,6.94,14.7,14,13.2,24.4,2.6,Kin,4852,MIPS/IGA,5,<0.6,
2516,G014.6121+00.1118,Rejected ,0.185,1.72,3.56,10.82,,,,,NA,,NULL,MSX,,,
2488,G014.6211+00.6837,OH/IR star ,0.158,0.66,2.39,5.95,16.5,15.6,13.2,27.9,2.9,Kin,1681,MSX,5,<0.5,
2847,G014.6215-04.3791,PN ,0.22,-0.673,1.29,3.07,13.3,13.2,12.3,,NA,,NULL,MSX,,,
4876,G014.6332-00.5936,Diffuse HII region ,0.294,-0.601,0.74,6.45,,,,,NA,,NULL,MSX,,,
2523,G014.6371+00.0660,Evolved star?,0.391,0.882,0.8,3.28,,,,,NA,,NULL,MSX,,,
