#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-02-13T19:12:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c6464a76380	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:V/114&tab:{V/114/msx6_gp}&key:source=V/114/msx6_gp&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/114/msx6_gp
#-order=I
#-out=MSX6C
#-out=RAJ2000
#-out=DEJ2000
#-out=B1
#-out=q_B1
#-out=e_B1
#-out=A
#-out=q_A
#q_A=>= 2
#-out=e_A
#-out=C
#-out=q_C
#-out=e_C
#-out=D
#-out=q_D
#q_D=>= 2
#-out=e_D
#-out=E
#-out=q_E
#q_E=>= 2
#-out=e_E
#Old=Old
#

#RESOURCE=yCat_5114
#Name: V/114
#Title: MSX6C Infrared Point Source Catalog (Egan+ 2003)
#Table	V_114_msx6_gp:
#Name: V/114/msx6_gp
#Title: The complete MSX6C catalogue in the Galactic Plane (|b|<=6{deg})
#Column	MSX6C	(a17)	Name (based on galactic position)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	B1	(E10.3)	Flux density in B1 (4.29um) band (1)	[ucd=phot.mag;em.IR.4-8um]
#Column	q_B1	(I1)	[0,4] Band B1 quality (2)	[ucd=meta.code.qual]
#Column	e_B1	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
#Column	A	(E10.3)	Flux density in A (8.28um) band (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	q_A	(I1)	[0,4] Band A quality (2)	[ucd=meta.code.qual]
#Column	e_A	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
#Column	C	(E10.3)	Flux density in C (12.13um) band (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	q_C	(I1)	[0,4] Band C quality (2)	[ucd=meta.code.qual]
#Column	e_C	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
#Column	D	(E10.3)	Flux density in D (14.65um) band (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	q_D	(I1)	[0,4] Band D quality (2)	[ucd=meta.code.qual]
#Column	e_D	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
#Column	E	(E10.3)	Flux density in E (21.34um) band (1)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	q_E	(I1)	[0,4] Band E quality (2)	[ucd=meta.code.qual]
#Column	e_E	(F5.1)	? flux uncertainty 1-sigma	[ucd=stat.error]
MSX6C;RAJ2000;DEJ2000;B1;q_B1;e_B1;A;q_A;e_A;C;q_C;e_C;D;q_D;e_D;E;q_E;e_E
G275.0845-02.0315;141.3628;-53.3785;-1.060e+01;0;     ; 2.059e+01;4;  4.1; 2.169e+01;4;  5.0; 1.568e+01;4;  6.1; 1.040e+01;4;  6.1
G286.8386-02.1157;158.4852;-60.6174;-1.157e+01;0;     ; 2.002e+01;4;  4.1; 2.254e+01;4;  5.0; 1.773e+01;4;  6.1; 1.772e+01;4;  6.0
G326.2281-02.1979;238.6553;-56.5447; 1.595e+01;1; 13.1; 1.839e+01;4;  4.1; 1.737e+01;4;  5.0; 1.243e+01;4;  6.1; 1.145e+01;4;  6.1
G319.0885-02.1148;227.3443;-60.5847; 2.792e+01;2; 11.2; 1.778e+01;4;  4.1; 2.358e+01;4;  5.0; 1.709e+01;4;  6.1; 1.088e+01;4;  6.1
G005.4484-02.0026;271.4327;-25.2398; 2.257e+01;1; 12.3; 1.667e+01;4;  4.1; 1.936e+01;4;  5.0; 1.477e+01;4;  6.1; 1.058e+01;4;  6.1
G313.6091-02.2572;217.0207;-63.1080; 2.418e+01;1; 11.1; 1.846e+01;4;  4.1; 1.727e+01;4;  5.0; 1.175e+01;4;  6.1; 7.952e+00;4;  6.1
G306.4608-02.1401;201.1608;-64.7842; 2.071e+01;1; 12.7; 1.580e+01;4;  4.1; 1.614e+01;4;  5.0; 1.227e+01;4;  6.1; 7.570e+00;4;  6.1
G350.5177-02.0879;262.4228;-38.0609; 1.756e+01;1; 47.7; 1.872e+01;4;  4.1; 2.067e+01;4;  5.0; 1.616e+01;4;  6.1; 1.437e+01;4;  6.0
G283.8534-02.1135;153.4708;-59.0200; 3.239e+01;1; 10.7; 1.509e+01;4;  4.1; 1.474e+01;4;  5.0; 1.117e+01;4;  6.1; 5.751e+00;4;  6.2
G348.5965-02.1045;261.0680;-39.6652;-1.157e+01;0;     ; 1.741e+01;4;  4.1; 1.907e+01;4;  5.0; 1.431e+01;4;  6.1; 1.169e+01;4;  6.1
G029.2924-02.0324;283.0111;-04.1651;-1.060e+01;0;     ; 1.937e+01;4;  4.1; 2.138e+01;4;  5.0; 1.555e+01;4;  6.1; 1.387e+01;4;  6.0
G298.0512-02.0771;181.4619;-64.5161;-1.157e+01;0;     ; 1.493e+01;4;  4.1; 1.196e+01;4;  5.0; 8.629e+00;4;  6.1; 4.502e+00;4;  6.4
G058.6196-02.0479;297.1460;+21.6687; 4.267e+01;3;  9.7; 1.459e+01;4;  4.1; 1.089e+01;4;  5.0; 5.916e+00;4;  6.1; 3.015e+00;2;  6.7
G304.8713-02.0299;197.4211;-64.8331;-1.060e+01;0;     ; 1.190e+01;4;  4.1; 1.642e+01;4;  5.0; 1.628e+01;4;  6.1; 1.556e+01;4;  6.0
G025.5089-02.0660;281.3113;-07.5473;-1.157e+01;0;     ; 1.233e+01;4;  4.1; 1.424e+01;4;  5.0; 1.204e+01;4;  6.1; 1.394e+01;4;  6.0
G349.9459-02.0340;261.9631;-38.5072; 2.266e+01;1; 12.3; 1.303e+01;4;  4.1; 1.553e+01;4;  5.0; 1.187e+01;4;  6.1; 7.429e+00;4;  6.1
G352.6827-02.1214;263.9372;-36.2648;-1.157e+01;0;     ; 1.385e+01;4;  4.1; 1.316e+01;4;  5.0; 1.098e+01;4;  6.1; 9.825e+00;4;  6.1
G282.7201-02.1006;151.7031;-58.3575;-1.157e+01;0;     ; 1.348e+01;4;  4.1; 1.675e+01;4;  5.0; 1.428e+01;4;  6.1; 9.088e+00;4;  6.1
G009.4841-02.0159;273.5668;-21.7130; 3.110e+01;2; 10.6; 1.298e+01;4;  4.1; 6.291e+00;4;  5.0; 4.448e+00;4;  6.1; 2.305e+00;2;  7.0
G354.4582-02.1767;265.1588;-34.7942;-1.157e+01;0;     ; 1.621e+01;4;  4.1; 1.624e+01;4;  5.0; 1.191e+01;4;  6.1; 1.202e+01;4;  6.1
G009.4320-02.1538;273.6706;-21.8246;-1.157e+01;0;     ; 1.328e+01;4;  4.1; 1.375e+01;4;  5.0; 9.564e+00;4;  6.1; 9.201e+00;4;  6.1
G303.2906-02.1920;193.7098;-65.0615; 2.500e+01;2; 10.8; 1.330e+01;4;  4.1; 8.754e+00;4;  5.0; 5.186e+00;4;  6.1; 3.701e+00;3;  6.5
G079.2269-02.2151;310.6444;+38.7022; 2.069e+01;1; 11.5; 1.281e+01;4;  4.1; 8.911e+00;4;  5.0; 7.241e+00;4;  6.1; 4.063e+00;3;  6.4
G271.8085-02.0374;137.6177;-51.0422;-1.039e+01;0;     ; 1.169e+01;4;  4.1; 9.935e+00;4;  5.0; 7.617e+00;4;  6.1; 4.647e+00;3;  6.4
G303.5128-02.1727;194.2351;-65.0384; 1.476e+01;1; 50.9; 1.589e+01;4;  4.1; 1.472e+01;4;  5.0; 1.121e+01;4;  6.1; 1.072e+01;4;  6.1
G008.4297-02.1563;273.1560;-22.7058;-1.157e+01;0;     ; 1.208e+01;4;  4.1; 1.204e+01;4;  5.0; 8.736e+00;4;  6.1; 7.721e+00;4;  6.1
G080.6650-02.1460;311.7270;+39.8718; 2.523e+01;1; 11.5; 1.169e+01;4;  4.1; 9.050e+00;4;  5.0; 6.835e+00;4;  6.1; 4.965e+00;4;  6.3
G330.3230-02.1880;243.9872;-53.8080;-1.157e+01;0;     ; 1.280e+01;4;  4.1; 1.260e+01;4;  5.0; 8.748e+00;4;  6.1; 6.931e+00;4;  6.2
G040.5991-02.0235;288.1793;+05.8870;-1.060e+01;0;     ; 1.040e+01;4;  4.1; 8.262e+00;4;  5.0; 7.332e+00;4;  6.1; 4.558e+00;4;  6.3
G060.0139-02.1976;298.0502;+22.7926; 1.459e+01;1; 51.3; 1.129e+01;4;  4.1; 1.207e+01;4;  5.0; 8.836e+00;4;  6.1; 1.017e+01;4;  6.1
G270.7008-02.2469;136.1941;-50.3667;-1.513e+01;0;     ; 1.124e+01;4;  4.1; 1.554e+01;4;  5.0; 1.053e+01;4;  6.1; 9.325e+00;4;  6.0
G089.0339-02.2668;319.4274;+46.0631; 3.688e+01;1; 25.8; 1.099e+01;4;  4.1; 8.315e+00;4;  5.0; 6.377e+00;4;  6.1; 3.143e+00;2;  6.7
G036.3749-02.0116;286.2219;+02.1440;-1.060e+01;0;     ; 1.364e+01;4;  4.1; 1.432e+01;4;  5.0; 9.805e+00;4;  6.1; 8.222e+00;4;  6.1
G026.3946-02.2658;281.8966;-06.8502;-1.001e+01;0;     ; 9.595e+00;4;  4.1; 8.502e+00;4;  5.0; 5.714e+00;4;  6.1; 6.584e+00;4;  6.1
G012.0188-02.2252;275.0462;-19.5815;-1.001e+01;0;     ; 9.356e+00;4;  4.1; 8.026e+00;4;  5.0; 6.618e+00;4;  6.1; 3.726e+00;3;  6.4
G058.9652-02.2192;297.4933;+21.8798; 2.561e+01;2; 10.5; 9.420e+00;4;  4.1; 6.236e+00;4;  5.1; 4.669e+00;4;  6.2; 2.749e+00;2;  6.9
G063.7111-02.0671;300.0300;+26.0204; 2.053e+01;1; 12.8; 9.917e+00;4;  4.1; 8.581e+00;4;  5.0; 4.816e+00;4;  6.2; 2.974e+00;2;  6.7
G353.5039-02.0204;264.3762;-35.5183;-1.060e+01;0;     ; 8.278e+00;4;  4.1; 1.253e+01;4;  5.0; 1.335e+01;4;  6.1; 1.639e+01;4;  6.0
G280.8065-02.2405;148.6803;-57.3146;-1.255e+01;0;     ; 8.857e+00;4;  4.1; 6.516e+00;4;  5.1; 4.625e+00;4;  6.2; 3.203e+00;3;  6.6
G304.6878-02.1503;197.0092;-64.9656; 1.968e+01;1; 13.1; 9.431e+00;4;  4.1; 7.241e+00;4;  5.0; 5.921e+00;4;  6.1; 3.259e+00;3;  6.6
G339.6163-02.0031;253.6111;-46.8209; 2.206e+01;1; 38.8; 1.289e+01;4;  4.1; 1.422e+01;4;  5.0; 9.701e+00;4;  6.1; 9.518e+00;4;  6.1
G077.5055-02.2107;309.3090;+37.3413;-1.001e+01;0;     ; 7.169e+00;4;  4.1; 7.580e+00;4;  5.0; 5.812e+00;4;  6.1; 5.349e+00;4;  6.3
G297.0915-02.1687;179.2377;-64.4209;-1.157e+01;0;     ; 1.034e+01;4;  4.1; 2.459e+01;4;  5.0; 3.409e+01;4;  6.1; 3.394e+01;4;  6.0
G019.0231-02.1952;278.4125;-13.3702;-1.157e+01;0;     ; 7.777e+00;4;  4.1; 9.307e+00;4;  5.0; 7.076e+00;4;  6.1; 8.680e+00;4;  6.1
G307.0843-02.1848;202.6224;-64.7414;-1.157e+01;0;     ; 8.421e+00;4;  4.1; 8.805e+00;4;  5.0; 6.007e+00;4;  6.1; 5.490e+00;4;  6.3
G344.1750-02.0453;257.5986;-43.2393; 2.119e+01;1; 41.7; 8.618e+00;4;  4.1; 1.264e+01;4;  5.0; 9.598e+00;4;  6.1; 8.285e+00;4;  6.1
G355.3501-02.2064;265.7589;-34.0524; 1.891e+01;1; 45.3; 1.054e+01;4;  4.1; 1.094e+01;4;  5.0; 8.354e+00;4;  6.1; 7.984e+00;4;  6.1
G007.3728-02.2098;272.6555;-23.6579;-1.001e+01;0;     ; 7.760e+00;4;  4.1; 8.212e+00;4;  5.0; 5.983e+00;4;  6.1; 4.541e+00;3;  6.4
G271.8075-02.0877;137.5581;-51.0759;-1.039e+01;0;     ; 7.694e+00;4;  4.1; 6.827e+00;4;  5.1; 4.578e+00;4;  6.2; 3.925e+00;3;  6.4
G322.9646-02.1788;233.8259;-58.5255;-1.157e+01;0;     ; 7.074e+00;4;  4.1; 7.342e+00;4;  5.0; 5.406e+00;4;  6.1; 3.441e+00;2;  6.5
G051.7584-02.2449;293.7462;+15.6119; 1.584e+01;1; 13.1; 7.622e+00;4;  4.1; 8.319e+00;4;  5.0; 6.003e+00;4;  6.1; 5.709e+00;4;  6.2
G341.7080-02.1864;255.6856;-45.2940;-1.157e+01;0;     ; 6.843e+00;4;  4.1; 7.331e+00;4;  5.0; 5.351e+00;4;  6.1; 5.821e+00;4;  6.2
G359.8768-02.0550;268.3584;-30.0979; 3.918e+00;1; 12.7; 8.715e+00;4;  4.1; 9.057e+00;4;  5.0; 6.377e+00;4;  6.1; 4.690e+00;4;  6.0
G028.6324-02.0197;282.6987;-04.7467;-1.060e+01;0;     ; 6.695e+00;4;  4.1; 7.734e+00;4;  5.0; 6.799e+00;4;  6.1; 7.210e+00;4;  6.1
G298.1835-02.1146;181.7499;-64.5760;-1.157e+01;0;     ; 8.007e+00;4;  4.1; 7.718e+00;4;  5.0; 5.419e+00;4;  6.1; 3.804e+00;3;  6.4
G341.4203-02.0721;255.3064;-45.4514;-1.157e+01;0;     ; 6.986e+00;4;  4.1; 8.158e+00;4;  5.0; 5.631e+00;4;  6.1; 3.924e+00;3;  6.4
G272.7206-02.0103;138.6516;-51.6864;-1.035e+01;0;     ; 6.540e+00;4;  4.1; 5.219e+00;4;  5.2; 4.286e+00;4;  6.2; 3.640e+00;3;  6.5
G328.8696-02.1046;242.0748;-54.7405;-1.157e+01;0;     ; 8.707e+00;4;  4.1; 1.018e+01;4;  5.0; 8.021e+00;4;  6.1; 7.098e+00;4;  6.2
G015.9290-02.2080;276.9477;-16.1185;-1.001e+01;0;     ; 6.558e+00;4;  4.1; 5.687e+00;4;  5.1; 4.049e+00;4;  6.2; 4.837e+00;4;  6.3
G038.1116-02.2160;287.2009;+03.5923;-1.001e+01;0;     ; 6.168e+00;4;  4.1; 6.727e+00;4;  5.1; 4.827e+00;4;  6.2; 5.151e+00;4;  6.3
G302.9323-02.1277;192.8604;-64.9996;-1.157e+01;0;     ; 6.479e+00;4;  4.1; 6.818e+00;4;  5.1; 4.277e+00;4;  6.2; 2.570e+00;2;  7.0
G019.1330-02.1915;278.4610;-13.2710;-1.157e+01;0;     ; 5.504e+00;4;  4.1; 8.300e+00;4;  5.0; 1.101e+01;4;  6.1; 1.094e+01;4;  6.1
G351.8706-02.2300;263.5046;-37.0063;-1.001e+01;0;     ; 5.984e+00;4;  4.1; 6.474e+00;4;  5.1; 4.295e+00;4;  6.2; 4.885e+00;4;  6.3
G347.2266-02.0558;259.9992;-40.7654;-1.157e+01;0;     ; 5.762e+00;4;  4.1; 6.812e+00;4;  5.1; 5.506e+00;4;  6.1; 4.061e+00;3;  6.4
G283.5475-02.2655;152.8149;-58.9711;-1.255e+01;0;     ; 5.982e+00;4;  4.1; 7.780e+00;4;  5.0; 5.475e+00;4;  6.1; 1.257e+01;4;  6.0
G003.5997-02.0222;270.4425;-26.8591;-1.060e+01;0;     ; 4.526e+00;4;  4.1; 5.211e+00;4;  5.1; 4.634e+00;4;  6.1; 5.439e+00;4;  6.2
G319.6769-02.1365;228.3914;-60.3029;-1.157e+01;0;     ; 4.494e+00;4;  4.1; 5.553e+00;4;  5.1; 4.606e+00;4;  6.2; 5.147e+00;4;  6.3
G048.9641-02.1149;292.2415;+13.2264;-1.157e+01;0;     ; 5.306e+00;4;  4.1; 5.133e+00;4;  5.2; 3.938e+00;4;  6.2; 2.953e+00;2;  6.8
G007.1427-02.0744;272.4049;-23.7941;-1.157e+01;0;     ; 7.319e+00;4;  4.1; 7.607e+00;4;  5.0; 6.056e+00;4;  6.1; 6.062e+00;4;  6.2
G042.7395-02.0805;289.2294;+07.7556;-1.157e+01;0;     ; 6.758e+00;4;  4.1; 7.055e+00;4;  5.0; 5.139e+00;4;  6.1; 3.226e+00;3;  6.6
G312.1136-02.1836;213.8355;-63.5498;-1.157e+01;0;     ; 5.481e+00;4;  4.1; 5.809e+00;4;  5.1; 4.194e+00;4;  6.2; 3.561e+00;3;  6.5
G014.7634-02.2380;276.4106;-17.1637;-1.001e+01;0;     ; 4.696e+00;4;  4.1; 6.467e+00;4;  5.1; 6.214e+00;4;  6.1; 6.505e+00;4;  6.2
G019.8589-02.0352;278.6607;-12.5549;-1.060e+01;0;     ; 5.214e+00;4;  4.1; 7.225e+00;4;  5.0; 5.612e+00;4;  6.1; 3.730e+00;3;  6.4
G001.8212-02.0751;269.4984;-28.4284; 1.671e+01;1; 51.2; 5.453e+00;4;  4.1; 6.284e+00;4;  5.1; 4.717e+00;4;  6.2; 3.291e+00;3;  6.6
G002.0861-02.2341;269.8049;-28.2781;-1.001e+01;0;     ; 6.774e+00;4;  4.1; 6.718e+00;4;  5.0; 6.030e+00;4;  6.1; 7.015e+00;4;  6.1
G341.0458-02.2057;255.1283;-45.8288;-1.001e+01;0;     ; 4.473e+00;4;  4.1; 6.906e+00;4;  5.1; 7.517e+00;4;  6.1; 8.539e+00;4;  6.1
G017.6839-02.0323;277.6279;-14.4827;-1.060e+01;0;     ; 4.566e+00;4;  4.1; 2.070e+01;4;  5.0; 4.332e+01;4;  6.1; 9.335e+01;4;  6.0
G001.2869-02.1880;269.3057;-28.9473;-1.157e+01;0;     ; 4.765e+00;4;  4.1; 5.338e+00;4;  5.2; 4.153e+00;4;  6.2; 4.704e+00;3;  6.4
G017.2084-02.1832;277.5392;-14.9738;-1.157e+01;0;     ; 4.539e+00;4;  4.1; 4.516e+00;4;  5.2; 2.739e+00;4;  6.3; 2.388e+00;2;  7.1
G319.0139-02.2696;227.3724;-60.7560;-1.001e+01;0;     ; 4.677e+00;4;  4.1; 5.034e+00;4;  5.1; 3.617e+00;4;  6.2; 2.886e+00;2;  6.6
G008.7514-02.2641;273.4251;-22.4750;-1.001e+01;0;     ; 4.270e+00;4;  4.1; 5.311e+00;4;  5.1; 4.027e+00;4;  6.2; 4.829e+00;4;  6.3
G006.7148-02.0864;272.1902;-24.1743;-1.157e+01;0;     ; 4.434e+00;4;  4.1; 5.216e+00;4;  5.2; 4.381e+00;4;  6.2; 4.482e+00;3;  6.4
G330.0233-02.0830;243.4970;-53.9390;-1.157e+01;0;     ; 4.729e+00;4;  4.1; 4.862e+00;4;  5.2; 3.405e+00;4;  6.3; 2.599e+00;2;  7.0
G034.2118-02.2687;285.4622;+00.1038;-1.001e+01;0;     ; 4.260e+00;4;  4.1; 3.478e+00;4;  5.3; 3.047e+00;4;  6.3; 3.301e+00;3;  6.5
G089.1303-02.0062;319.2550;+46.3140;-1.427e+01;0;     ; 4.395e+00;4;  4.1; 4.410e+00;4;  5.2; 3.627e+00;4;  6.2; 3.328e+00;3;  6.5
G021.5815-02.0546;279.4850;-11.0341;-1.157e+01;0;     ; 3.881e+00;4;  4.1; 3.968e+00;4;  5.3; 3.420e+00;4;  6.3; 3.616e+00;3;  6.5
G277.8186-02.2530;144.5391;-55.4025;-1.255e+01;0;     ; 4.339e+00;4;  4.1; 3.333e+00;4;  5.3; 2.884e+00;4;  6.3; 2.340e+00;2;  6.9
G040.5539-02.2124;288.3267;+05.7596;-1.001e+01;0;     ; 4.725e+00;4;  4.1; 5.396e+00;4;  5.1; 3.917e+00;4;  6.2; 2.579e+00;2;  6.8
G354.8841-02.0321;265.2832;-34.3565;-1.060e+01;0;     ; 4.277e+00;4;  4.1; 5.181e+00;4;  5.1; 3.548e+00;4;  6.2; 4.174e+00;3;  6.4
G297.7861-02.1477;180.8265;-64.5376;-1.157e+01;0;     ; 4.930e+00;4;  4.1; 5.051e+00;4;  5.2; 3.505e+00;4;  6.3; 3.790e+00;3;  6.4
G007.5533-02.1036;272.6487;-23.4487;-1.157e+01;0;     ; 3.734e+00;4;  4.1; 4.594e+00;4;  5.2; 4.191e+00;4;  6.2; 4.497e+00;3;  6.4
G017.6586-02.0218;277.6063;-14.5003;-1.060e+01;0;     ; 4.390e+00;4;  4.1; 3.932e+00;4;  5.3; 2.856e+00;4;  6.3; 2.577e+00;2;  6.8
G344.4658-02.0020;257.7866;-42.9794;-1.060e+01;0;     ; 4.529e+00;4;  4.1; 5.470e+00;4;  5.1; 4.993e+00;4;  6.1; 4.935e+00;4;  6.3
G316.5962-02.2541;222.9277;-61.8924;-1.001e+01;0;     ; 3.493e+00;4;  4.1; 4.013e+00;4;  5.2; 3.082e+00;4;  6.3; 3.398e+00;3;  6.4
G000.3291-02.0126;268.5799;-29.6865;-4.326e+00;0;     ; 4.391e+00;4;  4.1; 4.434e+00;4;  5.0; 3.306e+00;4;  6.1; 2.818e+00;4;  6.1
G005.3596-02.2270;271.6016;-25.4265;-1.001e+01;0;     ; 3.549e+00;4;  4.1; 4.588e+00;4;  5.2; 3.647e+00;4;  6.3; 3.985e+00;3;  6.4
